"city","year","temp","lat","lang"
"Sydney",1996,55.5598360655738,-33.92,151.1852
"Sydney",1997,57.4197260273972,-33.92,151.1852
"Sydney",1998,55.5682191780822,-33.92,151.1852
"Sydney",1999,57.6309589041095,-33.92,151.1852
"Sydney",2000,58.2857923497268,-33.92,151.1852
"Sydney",2001,57.3564383561643,-33.92,151.1852
"Sydney",2002,55.7301369863014,-33.92,151.1852
"Sydney",2003,56.7978082191781,-33.92,151.1852
"Sydney",2004,57.2494535519126,-33.92,151.1852
"Sydney",2005,58.4583561643836,-33.92,151.1852
"Sydney",2006,57.5523287671233,-33.92,151.1852
"Sydney",2007,59.0989041095891,-33.92,151.1852
"Sydney",2008,56.568306010929,-33.92,151.1852
"Sydney",2009,58.3854794520548,-33.92,151.1852
"Sydney",2010,58.0498630136986,-33.92,151.1852
"Sydney",2011,57.8821917808219,-33.92,151.1852
"Sydney",2012,58.0270491803279,-33.92,151.1852
"Sydney",2013,58.5610958904109,-33.92,151.1852
"Sydney",2014,58.8084931506849,-33.92,151.1852
"Sydney",2015,57.7185792349727,-33.92,151.1852
"Sydney",2016,57.5172131147541,-33.92,151.1852
"Sydney",2017,58.9334246575343,-33.92,151.1852
"Sydney",2018,57.2871232876712,-33.92,151.1852
"Sydney",2019,56.4709589041096,-33.92,151.1852
"Sydney",2020,62.3313432835821,-33.92,151.1852
